,src_node_id,dest_node_id
0,411,944
1,389,847
2,342,875
3,969,989
4,79,524
5,321,572
6,735,899
7,133,219
8,27,838
9,499,903
10,93,886
11,437,488
12,808,817
13,5,36
14,354,392
15,407,652
16,464,975
17,50,911
18,892,900
19,147,205
20,701,748
21,289,390
22,188,650
23,192,830
24,124,604
25,202,822
26,76,989
27,339,391
28,288,324
29,699,743
30,222,476
31,632,657
32,599,604
33,449,890
34,214,568
35,426,608
36,127,220
37,873,876
38,103,161
39,433,445
40,713,757
41,22,199
42,263,305
43,820,938
44,607,612
45,915,944
46,902,904
47,151,390
48,83,456
49,846,875
50,359,748
51,786,812
52,773,796
53,955,995
54,262,283
55,321,971
56,215,299
57,308,757
58,182,212
59,596,606
60,743,989
61,303,954
62,129,369
63,148,205
64,351,582
65,64,97
66,782,822
67,687,760
68,748,776
69,216,806
70,752,984
71,706,764
72,596,700
73,213,542
74,619,633
75,695,702
76,611,697
77,21,421
78,432,483
79,14,622
80,951,987
81,557,582
82,357,420
83,364,378
84,987,999
85,508,970
86,848,988
87,40,687
88,892,944
89,767,778
90,434,588
91,637,875
92,538,878
93,421,856
94,662,896
95,50,572
96,176,208
97,460,649
98,634,838
99,926,940
100,251,256
101,528,908
102,615,688
103,197,605
104,180,935
105,71,190
106,113,324
107,612,876
108,461,902
109,581,763
110,28,747
111,604,780
112,603,875
113,645,652
114,445,498
115,469,512
116,26,111
117,136,146
118,374,391
119,764,771
120,71,495
121,320,454
122,396,446
123,607,608
124,410,746
125,894,914
126,328,976
127,258,302
128,380,389
129,77,477
130,705,738
131,162,187
132,488,839
133,9,724
134,976,990
135,602,757
136,30,100
137,485,985
138,82,285
139,303,837
140,619,718
141,531,604
142,52,581
143,748,996
144,16,34
145,168,171
146,352,410
147,558,607
148,137,199
149,706,712
150,190,495
151,447,488
152,407,594
153,982,996
154,236,514
155,39,45
156,956,989
157,633,832
158,640,681
159,770,785
160,848,960
161,378,450
162,737,777
163,256,289
164,698,759
165,399,792
166,165,482
167,246,251
168,211,612
169,48,53
170,555,825
171,388,404
172,191,549
173,341,402
174,783,809
175,612,823
176,41,477
177,206,959
178,893,933
179,124,866
180,326,486
181,221,222
182,113,511
183,555,750
184,121,986
185,612,614
186,776,789
187,374,411
188,672,968
189,694,700
190,659,719
191,387,398
192,8,64
193,855,871
194,12,57
195,276,640
196,150,155
197,781,973
198,155,692
199,600,776
200,601,672
201,361,389
202,705,718
203,743,790
204,195,792
205,104,710
206,221,552
207,191,220
208,852,877
209,692,964
210,124,134
211,88,295
212,787,982
213,63,97
214,31,707
215,435,508
216,628,643
217,625,653
218,438,630
219,495,639
220,81,479
221,648,999
222,146,151
223,537,610
224,662,839
225,676,771
226,366,389
227,407,463
228,853,875
229,156,203
230,288,474
231,404,777
232,323,713
233,237,263
234,103,348
235,509,647
236,607,988
237,599,688
238,380,916
239,17,66
240,113,539
241,832,836
242,13,150
243,251,633
244,273,363
245,72,891
246,22,162
247,97,111
248,336,770
249,972,982
250,59,423
251,574,582
252,868,889
253,8,36
254,246,565
255,855,899
256,363,881
257,627,742
258,400,406
259,130,178
260,655,938
261,820,875
262,773,801
263,955,976
264,187,438
265,411,830
266,955,959
267,285,762
268,507,570
269,91,185
270,365,560
271,382,392
272,493,629
273,548,691
274,173,566
275,602,606
276,839,851
277,359,777
278,243,306
279,961,973
280,105,275
281,5,926
282,432,447
283,19,114
284,770,816
285,387,718
286,904,945
