selected_features,accuracy_contribution,accuracy_contribution_std
feat_page_rank_0,0.7918032786885245,0.03586007025283175
feat_closeness_centrality_1,0.7770491803278687,0.040621349814307754
feat_basic_expansion_1,0.8323770491803278,0.034724991677902065
feat_closeness_centrality_3,0.8577868852459016,0.027095712583714078
feat_closeness_centrality_0,0.8639344262295081,0.028793718147951296
feat_degree_centrality_0,0.862295081967213,0.02612684827952331
feat_selfwalk_2,0.8590163934426229,0.023699725073444176
feat_eigenvector_centrality_3,0.8631147540983607,0.02362874640229437
feat_selfwalk_3,0.860655737704918,0.032166257164505864
feat_load_centrality_0,0.855737704918033,0.023812850895629407
feat_lsme_1,0.8614754098360656,0.02679964381028165
feat_page_rank_1,0.8635245901639343,0.030699429721397543
feat_degree_centrality_2,0.8540983606557377,0.026887245027633965
feat_selfwalk_1,0.85,0.03279712954711894
feat_selfwalk_0,0.8573770491803279,0.030493565963505356
feat_page_rank_2,0.8549180327868852,0.028406104018300737
feat_closeness_centrality_2,0.8549180327868852,0.022759743240843944
feat_lsme_0,0.8610655737704919,0.019131049208170162
feat_load_centrality_2,0.8586065573770492,0.023310270656655516
feat_load_centrality_3,0.8430327868852459,0.03322201020164516
feat_basic_expansion_0,0.8508196721311476,0.034445739982706045
feat_load_centrality_1,0.8479508196721313,0.02585217834083631
feat_basic_expansion_3,0.8532786885245901,0.02717308926926355
feat_basic_expansion_2,0.8581967213114755,0.021701970975202812
feat_eigenvector_centrality_2,0.8557377049180326,0.028910150964833434
feat_page_rank_3,0.853688524590164,0.020454884776176668
feat_lsme_2,0.8528688524590164,0.03293766559071812
feat_lsme_3,0.8426229508196721,0.032540054493900336
feat_degree_centrality_1,0.8442622950819672,0.028979786114202752
feat_degree_centrality_3,0.8438524590163935,0.026871622898009012
feat_eigenvector_centrality_1,0.835655737704918,0.023682000349497804
feat_eigenvector_centrality_0,0.8381147540983604,0.031732534973851395
