selected_features,accuracy_contribution,accuracy_contribution_std
feat_lsme_0,0.6326666666666667,0.032890390356117356
feat_selfwalk_1,0.6673333333333333,0.023012074125457624
feat_lsme_1,0.6859999999999999,0.026428099523886413
feat_basic_expansion_0,0.6961666666666667,0.021350904222330054
feat_basic_expansion_3,0.7008333333333333,0.026933560230067374
feat_load_centrality_2,0.6966666666666667,0.02503331114069145
feat_load_centrality_0,0.7028333333333333,0.017615491919204397
feat_eigenvector_centrality_1,0.6971666666666667,0.020717008578567623
feat_page_rank_0,0.6896666666666667,0.025579940057266236
feat_closeness_centrality_0,0.6921666666666667,0.026921181251943597
feat_selfwalk_0,0.701,0.0258865044204719
feat_page_rank_3,0.7071666666666666,0.026040033282108792
feat_degree_centrality_0,0.6968333333333333,0.027597805870918223
feat_basic_expansion_1,0.7006666666666665,0.02291530298972962
feat_selfwalk_3,0.6961666666666666,0.02508374861228769
feat_page_rank_2,0.6981666666666666,0.023955398370954117
feat_eigenvector_centrality_3,0.6994999999999999,0.01798996633929283
feat_selfwalk_2,0.6986666666666667,0.029728400188671063
feat_closeness_centrality_3,0.7003333333333334,0.027706798203088485
feat_load_centrality_3,0.7016666666666667,0.018604061683167767
feat_lsme_3,0.7005,0.02362378744683701
feat_page_rank_1,0.7028333333333332,0.02058248986126045
feat_eigenvector_centrality_2,0.704,0.023748684174075836
feat_degree_centrality_2,0.7018333333333333,0.0296736883076199
feat_degree_centrality_3,0.6981666666666666,0.023033188615078408
feat_basic_expansion_2,0.6981666666666666,0.03354060557327823
feat_load_centrality_1,0.7001666666666667,0.02846976954205598
feat_closeness_centrality_2,0.6921666666666666,0.022907422377910606
feat_degree_centrality_1,0.6973333333333332,0.0183968596353955
feat_lsme_2,0.6936666666666667,0.028458546851321983
feat_closeness_centrality_1,0.6913333333333334,0.026820390253188588
feat_eigenvector_centrality_0,0.6928333333333333,0.02378783535992948
