selected_features,accuracy_contribution,accuracy_contribution_std
feat_page_rank_0,0.8315789473684209,0.035696473595396135
feat_selfwalk_1,0.8271929824561403,0.05062703168599324
feat_page_rank_3,0.8324561403508772,0.05505390626144985
feat_basic_expansion_2,0.8491228070175438,0.035262721477617165
feat_load_centrality_1,0.8552631578947368,0.037983570341422745
feat_selfwalk_2,0.8614035087719296,0.039190013866120484
feat_lsme_3,0.857017543859649,0.029500301264561813
feat_closeness_centrality_3,0.8833333333333332,0.02168281946369873
feat_selfwalk_0,0.8894736842105262,0.05177668267850422
feat_lsme_1,0.8973684210526317,0.03432280271318219
feat_degree_centrality_0,0.8859649122807017,0.040956552736592114
feat_load_centrality_2,0.8789473684210527,0.035911385070980226
feat_basic_expansion_3,0.8868421052631579,0.03615695411495604
feat_basic_expansion_0,0.8885964912280702,0.04749009713557601
feat_page_rank_1,0.887719298245614,0.03108779850292868
feat_eigenvector_centrality_0,0.8868421052631581,0.04454724184419165
feat_degree_centrality_2,0.876315789473684,0.03699841527888269
feat_page_rank_2,0.881578947368421,0.047684133069918894
feat_degree_centrality_3,0.8771929824561402,0.04403473823863556
feat_eigenvector_centrality_3,0.8763157894736843,0.03941516129589645
feat_closeness_centrality_0,0.8763157894736843,0.05616090632459338
feat_degree_centrality_1,0.8649122807017543,0.047433353805599224
feat_load_centrality_3,0.8736842105263157,0.04855562281788789
feat_eigenvector_centrality_2,0.8692982456140351,0.043143272376694505
feat_closeness_centrality_1,0.8833333333333332,0.03052581165141282
feat_basic_expansion_1,0.8614035087719298,0.04110657724161396
feat_lsme_0,0.8614035087719298,0.03958075148308237
feat_selfwalk_3,0.8614035087719298,0.055727649734275755
feat_eigenvector_centrality_1,0.8666666666666666,0.035262721477617165
feat_lsme_2,0.8719298245614034,0.045105123270815575
feat_load_centrality_0,0.8666666666666668,0.043116511324366676
feat_closeness_centrality_2,0.8850877192982456,0.036156954114956064
