selected_features,accuracy_contribution,accuracy_contribution_std
feat_page_rank_0,0.6071776155717762,0.014353799168867655
feat_load_centrality_2,0.6038929440389295,0.007665842594268992
feat_closeness_centrality_0,0.6332522303325223,0.008547040423479452
feat_basic_expansion_2,0.6627737226277371,0.011274775705438457
feat_selfwalk_3,0.6833333333333333,0.01584827137620588
feat_load_centrality_1,0.7005677210056772,0.014845615749742408
feat_selfwalk_0,0.7162206001622059,0.011747063459438739
feat_eigenvector_centrality_2,0.7257096512570966,0.013036156373293147
feat_load_centrality_0,0.73110300081103,0.015815033168962312
feat_selfwalk_2,0.73779399837794,0.011847979833716878
feat_eigenvector_centrality_0,0.7366180048661801,0.010928986718243078
feat_load_centrality_3,0.7418491484184915,0.012187328259239107
feat_degree_centrality_3,0.7445255474452555,0.011811559925223626
feat_closeness_centrality_3,0.7480940794809409,0.013218545162614332
feat_lsme_1,0.7504460665044607,0.014431093392486851
feat_basic_expansion_1,0.7531224655312246,0.008725265730920261
feat_eigenvector_centrality_1,0.754257907542579,0.013348775400822594
feat_closeness_centrality_2,0.7536496350364963,0.011322150297203737
feat_closeness_centrality_1,0.7516626115166261,0.009928411925073473
feat_page_rank_3,0.7549878345498784,0.01225407029888868
feat_eigenvector_centrality_3,0.7549472830494728,0.008889107183519013
feat_degree_centrality_0,0.7533252230332521,0.010766480633642397
feat_page_rank_2,0.7532441200324411,0.00897966257262853
feat_degree_centrality_1,0.7561232765612328,0.01140384331080938
feat_degree_centrality_2,0.7617599351175993,0.0108534937463655
feat_page_rank_1,0.7638280616382807,0.010017451845349237
feat_selfwalk_1,0.7621654501216545,0.006538104212436111
feat_basic_expansion_3,0.7611516626115166,0.013450633771273982
feat_basic_expansion_0,0.7628548256285482,0.012193533414211042
feat_lsme_0,0.7523925385239254,0.010673906746975763
feat_lsme_2,0.7475669099756691,0.012194814520237636
feat_lsme_3,0.739375506893755,0.010618842253236968
