selected_features,accuracy_contribution,accuracy_contribution_std
feat_page_rank_0,0.6920658682634729,0.017770287123448036
feat_basic_expansion_1,0.6892215568862274,0.02516751578882336
feat_selfwalk_3,0.7038922155688623,0.019098417286008453
feat_eigenvector_centrality_3,0.7019461077844311,0.015397345184547766
feat_load_centrality_3,0.7008982035928143,0.01717059995082595
feat_closeness_centrality_1,0.7115269461077843,0.01858398934302733
feat_selfwalk_0,0.7085329341317365,0.01977578340386586
feat_basic_expansion_0,0.7143712574850298,0.025092606993720908
feat_degree_centrality_1,0.7122754491017964,0.018599056874847128
feat_load_centrality_0,0.7191616766467065,0.02708877733237729
feat_lsme_0,0.7196107784431136,0.02068415941871368
feat_lsme_2,0.7188622754491016,0.017378169893331075
feat_eigenvector_centrality_1,0.7202095808383233,0.0173155130654897
feat_lsme_3,0.7200598802395209,0.024017500521774135
feat_degree_centrality_3,0.7196107784431136,0.01975310604602084
feat_degree_centrality_2,0.7181137724550897,0.02015739547531471
feat_degree_centrality_0,0.7188622754491016,0.018743088893280874
feat_page_rank_1,0.7161676646706586,0.017828832252645987
feat_page_rank_2,0.7172155688622752,0.019825582284851418
feat_lsme_1,0.7200598802395208,0.023374395502133924
feat_load_centrality_1,0.7218562874251496,0.023014976096979178
feat_eigenvector_centrality_0,0.7128742514970059,0.01992536902032915
feat_selfwalk_1,0.7217065868263473,0.020228423240982167
feat_page_rank_3,0.7151197604790419,0.024438823347885164
feat_closeness_centrality_3,0.714071856287425,0.022732813500273313
feat_basic_expansion_3,0.713323353293413,0.019492719555589122
feat_eigenvector_centrality_2,0.7146706586826346,0.014486192099883775
feat_load_centrality_2,0.7110778443113771,0.024258888501742085
feat_basic_expansion_2,0.7047904191616765,0.02384707515178427
feat_closeness_centrality_2,0.7067365269461077,0.01950651076270711
feat_selfwalk_2,0.7002994011976047,0.019562151166370816
feat_closeness_centrality_0,0.7035928143712574,0.025281235727646165
