selected_features,accuracy_contribution,accuracy_contribution_std
eigenvector_centrality_2,0.7345029239766081,0.060728678295893186
self_walk_1,0.8345029239766081,0.05372802044792225
eigenvector_centrality_3,0.8245614035087719,0.05023796864307492
page_rank_4,0.8584795321637428,0.039989054964394755
page_rank_3,0.8532163742690059,0.04992727517775788
page_rank_2,0.8573099415204678,0.048308482872662886
eigenvector_centrality_1,0.8315789473684211,0.06036719485643948
load_centrality_2,0.8573099415204678,0.03782681082759352
self_walk_3,0.8421052631578949,0.054168590301330574
lsme_4,0.8590643274853801,0.042849976846134195
degree_centrality_1,0.8602339181286548,0.044494431723104695
degree_centrality_2,0.8771929824561404,0.04507099150408817
page_rank_1,0.86140350877193,0.05498631110136376
basic_expansion_1,0.8625730994152047,0.052256624098280934
lsme_3,0.8596491228070176,0.042734095687590894
load_centrality_3,0.8555555555555555,0.04337352430593839
load_centrality_1,0.8578947368421054,0.04582721216015219
degree_centrality_3,0.8578947368421054,0.04671412966910298
lsme_1,0.8415204678362572,0.07226186851295467
closeness_centrality_1,0.8573099415204678,0.04242890560752528
closeness_centrality_2,0.8567251461988303,0.054561748242331204
basic_expansion_3,0.8497076023391813,0.04118968807705342
closeness_centrality_3,0.8584795321637426,0.04595762036114269
basic_expansion_2,0.8467836257309941,0.04684206875906617
load_centrality_4,0.8766081871345028,0.035228761361003585
degree_centrality_4,0.8444444444444444,0.05277433531077651
basic_expansion_4,0.860233918128655,0.05827156001642118
closeness_centrality_4,0.8538011695906432,0.04582348075826837
eigenvector_centrality_4,0.84093567251462,0.05817464381495151
self_walk_4,0.8555555555555555,0.042658002865115514
lsme_2,0.8602339181286549,0.03580647839729036
self_walk_2,0.8421052631578948,0.06026513697304445
