selected_features,accuracy_contribution,accuracy_contribution_std
eigenvector_centrality_1,0.6306387225548901,0.025842137382148373
closeness_centrality_1,0.6740518962075849,0.02141968610825758
page_rank_1,0.6829341317365272,0.021608803084749852
degree_centrality_1,0.6968063872255491,0.024322649291569444
page_rank_2,0.70249500998004,0.023184859263169832
lsme_1,0.7141716566866269,0.02040521607668204
lsme_4,0.7130738522954092,0.021934529426932123
lsme_2,0.7190618762475051,0.018114528502941867
closeness_centrality_2,0.7209580838323354,0.019363335075961562
basic_expansion_1,0.7204590818363273,0.019897356537792732
basic_expansion_4,0.7279441117764471,0.019976041522070748
lsme_3,0.7258483033932136,0.015836848603247317
degree_centrality_2,0.7278443113772455,0.018168333064464914
eigenvector_centrality_2,0.7226546906187625,0.018896040072907617
basic_expansion_2,0.7199600798403195,0.02037590804784875
self_walk_1,0.7276447105788424,0.019271816281224752
self_walk_4,0.7292415169660679,0.027086387278617792
load_centrality_4,0.7236526946107785,0.019862285377990396
basic_expansion_3,0.7259481037924153,0.02996738612057245
self_walk_3,0.7248502994011976,0.02141433795903166
self_walk_2,0.7265469061876249,0.018972578245036762
closeness_centrality_3,0.7223552894211577,0.019169991542583587
eigenvector_centrality_4,0.7295409181636727,0.026648762320995383
eigenvector_centrality_3,0.7224550898203594,0.02077407099365216
load_centrality_2,0.7289421157684631,0.018978876893440817
closeness_centrality_4,0.7324351297405189,0.024378481930455408
page_rank_3,0.7244510978043913,0.02004696657852559
load_centrality_1,0.7227544910179642,0.021515262542780463
load_centrality_3,0.7308383233532935,0.025196586843732445
degree_centrality_4,0.7236526946107784,0.020160915754342337
degree_centrality_3,0.7293413173652696,0.02198238309268583
page_rank_4,0.7188622754491019,0.026047904191616764
