selected_features,accuracy_contribution,accuracy_contribution_std
feat_page_rank_0,0.7876229508196722,0.040407342057177845
feat_selfwalk_1,0.7875409836065573,0.04291639215890097
feat_lsme_3,0.7894262295081964,0.03290337911056111
feat_closeness_centrality_2,0.8353278688524591,0.03470021728000797
feat_eigenvector_centrality_3,0.8543442622950819,0.029367949959367423
feat_page_rank_1,0.8560655737704919,0.03023512625153705
feat_basic_expansion_2,0.8559016393442623,0.02884454064218927
feat_basic_expansion_0,0.8528688524590163,0.0282846275540633
feat_closeness_centrality_3,0.8513114754098359,0.023615094084874236
feat_selfwalk_0,0.8476229508196721,0.02767762260017349
feat_degree_centrality_0,0.8518032786885245,0.031675423241320645
feat_page_rank_3,0.8553278688524591,0.028117860555809674
feat_load_centrality_3,0.8507377049180327,0.026769417624740173
feat_lsme_0,0.8464754098360656,0.026607294718225677
feat_page_rank_2,0.8495081967213113,0.029769336295911244
feat_load_centrality_0,0.8501639344262295,0.032870385475880476
feat_degree_centrality_3,0.8454918032786884,0.02741616426282714
feat_closeness_centrality_0,0.8456557377049181,0.028371906230548992
feat_selfwalk_2,0.8485245901639344,0.024438878889946506
feat_closeness_centrality_1,0.8486065573770493,0.028452306189351483
feat_lsme_1,0.8498360655737704,0.030468879096364435
feat_degree_centrality_2,0.8475409836065575,0.030669322842409346
feat_basic_expansion_1,0.8500819672131147,0.03074142054045215
feat_load_centrality_2,0.8452459016393443,0.032380265455523506
feat_degree_centrality_1,0.8431147540983607,0.02678760759103901
feat_basic_expansion_3,0.8438524590163935,0.031284749558824085
feat_selfwalk_3,0.8410655737704918,0.032702658206982815
feat_eigenvector_centrality_2,0.8407377049180327,0.028258010971940285
feat_eigenvector_centrality_0,0.8363934426229508,0.03015947935739013
feat_eigenvector_centrality_1,0.837950819672131,0.03182724717901029
feat_load_centrality_1,0.8331967213114756,0.02983370104123507
feat_lsme_2,0.8352459016393442,0.03364651762585867
