selected_features,accuracy_contribution,accuracy_contribution_std
feat_selfwalk_0,0.6476333333333334,0.028040823414760448
feat_eigenvector_centrality_2,0.6609,0.02733274389608348
feat_selfwalk_1,0.6614666666666666,0.023665821581156044
feat_load_centrality_1,0.6884666666666664,0.024424122866088308
feat_load_centrality_3,0.6911666666666666,0.02514126753633025
feat_basic_expansion_0,0.6940333333333334,0.026471347193186483
feat_degree_centrality_2,0.7005,0.027281963924093808
feat_selfwalk_2,0.6897333333333334,0.03021655175561897
feat_basic_expansion_1,0.6930999999999998,0.026974288168962347
feat_load_centrality_0,0.6936666666666667,0.02534429587369382
feat_degree_centrality_3,0.6927,0.026897728115544958
feat_closeness_centrality_1,0.6922999999999999,0.028506120200562007
feat_degree_centrality_1,0.6973333333333334,0.027133415233291637
feat_eigenvector_centrality_3,0.6883000000000001,0.03553244214016881
feat_basic_expansion_2,0.6931333333333334,0.02870857401931037
feat_closeness_centrality_0,0.6889,0.029048063618768126
feat_selfwalk_3,0.6992666666666666,0.02789496171155087
feat_page_rank_1,0.6891000000000002,0.02575463280870281
feat_eigenvector_centrality_1,0.6879000000000001,0.02621134190468784
feat_lsme_1,0.6914666666666666,0.02512334018840294
feat_basic_expansion_3,0.6929999999999998,0.026839026311200883
feat_lsme_0,0.6880666666666667,0.0258550661272495
feat_degree_centrality_0,0.6956666666666664,0.024510768608466314
feat_page_rank_2,0.6932333333333334,0.022795979177623996
feat_closeness_centrality_2,0.6966333333333332,0.024419914459764647
feat_lsme_2,0.6911666666666669,0.02224797119339699
feat_load_centrality_2,0.6871,0.02347412286847891
feat_lsme_3,0.6915666666666668,0.024360509938103604
feat_page_rank_0,0.6937333333333333,0.02502567570405332
feat_eigenvector_centrality_0,0.6935000000000001,0.025043850431681714
feat_closeness_centrality_3,0.6901666666666667,0.025622798008370935
feat_page_rank_3,0.6931000000000002,0.024609189792072033
