selected_features,accuracy_contribution,accuracy_contribution_std
feat_page_rank_0,0.8078947368421051,0.05836465324610446
feat_page_rank_3,0.8196491228070175,0.0419646775795819
feat_selfwalk_2,0.8371929824561402,0.0499356310810426
feat_load_centrality_2,0.8542105263157893,0.04997352330686782
feat_lsme_3,0.8557894736842104,0.043795040132030984
feat_load_centrality_0,0.8587719298245612,0.041321283204610086
feat_eigenvector_centrality_3,0.8591228070175437,0.04964974272751659
feat_degree_centrality_2,0.8580701754385962,0.04107624152388497
feat_load_centrality_1,0.8656140350877191,0.040481862153746134
feat_basic_expansion_0,0.8615789473684208,0.040457144583631706
feat_basic_expansion_2,0.8578947368421052,0.042432935517360784
feat_lsme_2,0.8614035087719297,0.03958075148308238
feat_selfwalk_3,0.8626315789473682,0.04431726185549743
feat_selfwalk_1,0.860877192982456,0.04623431163964299
feat_load_centrality_3,0.8568421052631576,0.03694388614235753
feat_basic_expansion_1,0.8668421052631579,0.04196577772973689
feat_eigenvector_centrality_2,0.8719298245614033,0.03725747470455315
feat_selfwalk_0,0.8689473684210524,0.04279083674630658
feat_page_rank_2,0.8721052631578945,0.0434928522091877
feat_lsme_1,0.8729824561403506,0.04182067567019751
feat_closeness_centrality_3,0.8692982456140349,0.04198630857464673
feat_degree_centrality_0,0.8652631578947367,0.04574071478029044
feat_page_rank_1,0.8633333333333333,0.03979750220682353
feat_degree_centrality_1,0.870877192982456,0.04170275445516076
feat_lsme_0,0.8714035087719297,0.03738571381443169
feat_eigenvector_centrality_0,0.8696491228070172,0.040862884326509384
feat_closeness_centrality_1,0.8649122807017542,0.043789417453855034
feat_eigenvector_centrality_1,0.8628070175438595,0.04550459205195353
feat_degree_centrality_3,0.8592982456140351,0.05114749731897406
feat_basic_expansion_3,0.8698245614035086,0.03731360776868537
feat_closeness_centrality_0,0.8629824561403506,0.0429516538396282
feat_closeness_centrality_2,0.8501754385964909,0.03782482179385032
