selected_features,accuracy_contribution,accuracy_contribution_std
feat_page_rank_0,0.6878443113772456,0.024032872774367803
feat_basic_expansion_1,0.6838023952095807,0.02195611277443692
feat_lsme_3,0.6998203592814372,0.019617610913806663
feat_degree_centrality_0,0.7042814371257484,0.018658508719873915
feat_eigenvector_centrality_1,0.7099401197604791,0.0225696876194564
feat_basic_expansion_0,0.7080239520958084,0.022334927995623515
feat_basic_expansion_3,0.7127844311377245,0.021231134042834592
feat_eigenvector_centrality_3,0.712994011976048,0.02136063360999494
feat_selfwalk_1,0.7127844311377245,0.021411916901056458
feat_lsme_0,0.7118263473053894,0.02456321802764828
feat_load_centrality_0,0.717185628742515,0.020697351642624862
feat_closeness_centrality_0,0.7233532934131738,0.022938899771710132
feat_lsme_1,0.7223353293413173,0.022847352274828165
feat_eigenvector_centrality_0,0.7281137724550899,0.02261101552067936
feat_lsme_2,0.7311976047904192,0.019215773189211152
feat_selfwalk_0,0.7206886227544907,0.024777307852195174
feat_page_rank_3,0.7229640718562876,0.019689834709263665
feat_load_centrality_3,0.7197305389221555,0.021280223143104737
feat_selfwalk_3,0.7222155688622754,0.0212240607598177
feat_closeness_centrality_2,0.7241317365269463,0.01940812695062321
feat_load_centrality_1,0.7319461077844314,0.018219024147989277
feat_degree_centrality_3,0.7266467065868264,0.022590410622320513
feat_basic_expansion_2,0.7257784431137724,0.018926774051720392
feat_closeness_centrality_3,0.7164970059880238,0.020550768218396052
feat_closeness_centrality_1,0.7161676646706588,0.022891957908521287
feat_page_rank_1,0.7184730538922155,0.020714820021204203
feat_selfwalk_2,0.7181736526946106,0.022567205141386795
feat_degree_centrality_1,0.7171556886227546,0.022076468663342678
feat_degree_centrality_2,0.713802395209581,0.021360948349312927
feat_page_rank_2,0.7117664670658683,0.020252692981962212
feat_load_centrality_2,0.7108383233532934,0.019788494022519754
feat_eigenvector_centrality_2,0.7043712574850299,0.022186497433436196
