feat_index,accuracy_contribution,accuracy_contribution_std
0,0.501243579345769,0.08194106515274402
1,0.5307921059745877,0.08718572587185702
2,0.563368477967018,0.1043525277101921
3,0.6042984590429846,0.0782914301162475
4,0.616463909164639,0.07977831846444994
5,0.625925925925926,0.08380643417139766
6,0.6374966207082995,0.07280346039470131
7,0.6556636928899702,0.06315220329818882
8,0.6618815896188158,0.05961070559610726
9,0.6672343876723438,0.05487969721546371
10,0.6711273317112733,0.05696134090294669
11,0.6721005677210058,0.058853744255203844
12,0.6801297648012976,0.04768856447688563
13,0.6785617734522844,0.05182481751824808
14,0.679859421465261,0.0507164098404973
15,0.6931062449310623,0.03725331170586654
16,0.7011624763449581,0.03311705866450387
17,0.6970802919708029,0.03363071100297366
18,0.7000540686672073,0.030683968640172976
19,0.7009732360097324,0.03290078399567431
20,0.6974858069748583,0.03765882670992127
21,0.7015950256826169,0.03492835901595015
22,0.7034603947012708,0.035442011354420155
23,0.6996485536631523,0.038253582049202484
24,0.7100567721005678,0.02760205460935372
25,0.713625304136253,0.02030278453636125
26,0.7160583941605838,0.01938361719383641
27,0.7194917545282509,0.0193836171938363
28,0.7234117329007841,0.012733171127331633
29,0.7256015139226817,0.010759664774263489
30,0.7236009732360098,0.010678561773452055
31,0.7265477155988104,0.008029197080292039
