feat_index,accuracy_contribution,accuracy_contribution_std
0,0.5018113003514464,0.03637463307492093
1,0.5224114625574479,0.02419075918466611
2,0.5930792105974588,0.03194634745127189
3,0.6055150040551501,0.032189207839880406
4,0.6299270072992702,0.031682589661696854
5,0.6471749121384159,0.027280107468670996
6,0.6513111651797784,0.02273097184912119
7,0.6590970532576372,0.019096824398232244
8,0.6668288726682886,0.018540685245105944
9,0.6738577994052445,0.016242123235188286
10,0.6758853744255204,0.016907506525910335
11,0.676426061097594,0.01723221948842092
12,0.6773722627737226,0.015166453908609542
13,0.6829143011624764,0.014792623133791871
14,0.6850500135171669,0.016074770255152037
15,0.6861854555285212,0.015192453645505853
16,0.6929981075966476,0.015017566233507756
17,0.6925925925925924,0.015453237502562923
18,0.7020005406866721,0.01502593457207639
19,0.6981886996485538,0.015483594486879632
20,0.7017031630170316,0.015883700564261034
21,0.7051365233846986,0.017008893279946924
22,0.7024871586915382,0.015303462648258683
23,0.7032441200324413,0.017138594839735143
24,0.7014057853473913,0.016033092119014807
25,0.7161124628277912,0.014239807552472167
26,0.7128413084617463,0.016210436574316436
27,0.7190051365233848,0.015108516528694339
28,0.721492295214923,0.013856882760183724
29,0.7233846985671804,0.01609451309977971
30,0.7258718572587186,0.013930658586260353
31,0.72676399026764,0.015800382737660646
