selected_features,accuracy_contribution,accuracy_contribution_std
page_rank_1,0.6997267759562842,0.0418211326564901
self_walk_3,0.7292349726775957,0.07528747893942786
closeness_centrality_2,0.7849726775956286,0.04183184137960599
page_rank_2,0.7969945355191258,0.04231092881707176
degree_centrality_1,0.7879781420765027,0.03276866524713651
degree_centrality_2,0.7991803278688522,0.032079109193029254
closeness_centrality_1,0.8076502732240438,0.03086827156830295
page_rank_3,0.8117486338797815,0.03922359303442287
closeness_centrality_3,0.7907103825136611,0.04047406379702996
degree_centrality_3,0.8051912568306012,0.040193662096063426
closeness_centrality_0,0.805464480874317,0.029699843151259453
page_rank_0,0.8142076502732242,0.04089243045654581
degree_centrality_0,0.7939890710382513,0.035015342827542734
basic_expansion_3,0.8158469945355191,0.029305109678233708
self_walk_1,0.8122950819672129,0.03205117179674944
eigenvector_centrality_2,0.8240437158469943,0.03462946342678657
eigenvector_centrality_1,0.8065573770491804,0.03888622267684633
lsme_1,0.8144808743169398,0.0369297444597067
eigenvector_centrality_3,0.8218579234972677,0.026172524622574966
basic_expansion_1,0.8377049180327868,0.03740675648114718
load_centrality_2,0.8393442622950821,0.023812850895629407
load_centrality_3,0.8469945355191257,0.03440887757689872
eigenvector_centrality_0,0.8407103825136613,0.03186429652533436
load_centrality_1,0.8415300546448086,0.03148603342270585
lsme_3,0.8445355191256831,0.02974128744162798
basic_expansion_2,0.8418032786885247,0.034461990273737246
basic_expansion_0,0.8456284153005463,0.031822098350739146
self_walk_2,0.8445355191256831,0.028035769289257564
lsme_0,0.8494535519125682,0.03729182915817398
lsme_2,0.8396174863387978,0.035330520695504686
self_walk_0,0.8494535519125684,0.025439198030610587
load_centrality_0,0.8379781420765029,0.025979282304955862
