selected_features,accuracy_contribution,accuracy_contribution_std
self_walk_3,0.566888888888889,0.0436902678656567
basic_expansion_1,0.646222222222222,0.0335960021137142
load_centrality_1,0.668,0.0354296381474502
lsme_3,0.666333333333333,0.0293806436658938
closeness_centrality_1,0.667777777777778,0.0381937878731446
self_walk_2,0.667333333333333,0.0447991402033897
self_walk_1,0.671555555555556,0.0323491751950876
page_rank_0,0.680888888888889,0.0349489928147498
closeness_centrality_0,0.684666666666667,0.03151249017512
page_rank_1,0.681111111111111,0.0245754067572431
lsme_0,0.697444444444445,0.0228470491381488
self_walk_0,0.699333333333333,0.0310244825664912
degree_centrality_0,0.701666666666667,0.022831913986705
degree_centrality_1,0.688,0.0260284744363069
lsme_1,0.697333333333333,0.0240431710486382
eigenvector_centrality_1,0.692777777777778,0.0220787032183158
lsme_2,0.697333333333333,0.0265469535114811
eigenvector_centrality_0,0.690333333333333,0.0290255315452014
basic_expansion_0,0.700666666666667,0.0235607960627631
load_centrality_0,0.689333333333333,0.0188050426649245
feat_basic_expansion_3,0.693,0.0268390263112009
feat_lsme_0,0.689,0.0258550661272495
feat_degree_centrality_0,0.695666666666666,0.0245107686084663
feat_page_rank_2,0.693233333333333,0.022795979177624
feat_closeness_centrality_2,0.696633333333333,0.0244199144597646
feat_lsme_2,0.691166666666667,0.022247971193397
feat_load_centrality_2,0.6871,0.0234741228684789
feat_lsme_3,0.691566666666667,0.0243605099381036
feat_page_rank_0,0.693733333333333,0.0250256757040533
feat_eigenvector_centrality_0,0.6935,0.0250438504316817
feat_closeness_centrality_3,0.690166666666667,0.0256227980083709
feat_page_rank_3,0.6931,0.024609189792072
