selected_features,accuracy_contribution,accuracy_contribution_std
page_rank_1,0.7573099415204677,0.06294364787412242
self_walk_3,0.8315789473684211,0.051766774213639115
closeness_centrality_1,0.8298245614035088,0.06857083620101069
page_rank_2,0.8239766081871343,0.038830585499494794
degree_centrality_1,0.8339181286549707,0.04120214024282698
closeness_centrality_2,0.8321637426900584,0.041930273146768074
degree_centrality_2,0.8304093567251462,0.04305301127323032
page_rank_3,0.8497076023391812,0.04043554131710533
page_rank_0,0.839766081871345,0.04830848287266287
closeness_centrality_0,0.8590643274853801,0.04236841096299403
degree_centrality_3,0.8339181286549706,0.043855750314041334
eigenvector_centrality_1,0.8333333333333333,0.0424329355173608
degree_centrality_0,0.8444444444444446,0.04267002654258409
closeness_centrality_3,0.8473684210526315,0.04965253227398212
load_centrality_3,0.8502923976608188,0.04120214024282698
load_centrality_1,0.854970760233918,0.03841887182609787
eigenvector_centrality_2,0.8526315789473685,0.04610620665363046
basic_expansion_3,0.847953216374269,0.04626910045579527
load_centrality_2,0.8391812865497074,0.04370342547727107
eigenvector_centrality_3,0.8426900584795322,0.04426325022261114
basic_expansion_1,0.8368421052631577,0.05400735978785432
basic_expansion_2,0.8444444444444446,0.04591295070500706
eigenvector_centrality_0,0.8578947368421053,0.0423361118075749
lsme_3,0.871345029239766,0.03149219185458774
basic_expansion_0,0.8508771929824561,0.03412419756934539
load_centrality_0,0.8654970760233918,0.03604920469572501
lsme_0,0.8596491228070176,0.034794093054136874
self_walk_2,0.8584795321637427,0.044598072432602616
self_walk_0,0.8654970760233919,0.03771816490432069
lsme_2,0.8695906432748537,0.04289783610548142
