selected_features,accuracy_contribution,accuracy_contribution_std
page_rank_0,0.6064071370640715,0.011612465753581205
lsme_1,0.6012165450121656,0.01952786684209143
page_rank_1,0.5928359015950256,0.01497587400928219
degree_centrality_0,0.600919167342525,0.01545068338131782
degree_centrality_1,0.6190592051905921,0.013292235032078674
page_rank_2,0.6308461746417952,0.013023844576738892
closeness_centrality_1,0.6497161394971614,0.01503121104040813
degree_centrality_2,0.6476074614760745,0.018631049885256924
closeness_centrality_0,0.6486077318194108,0.01657087776315882
page_rank_3,0.6600162206001622,0.016373167328223828
closeness_centrality_2,0.6614760746147609,0.01653069367538981
degree_centrality_3,0.667396593673966,0.013136599983237391
closeness_centrality_3,0.6691267910246013,0.016897842603487964
self_walk_3,0.6711273317112734,0.01674045308918789
load_centrality_3,0.6890781292241146,0.012479471235005188
self_walk_1,0.6904568802379021,0.011684337812908518
eigenvector_centrality_2,0.6958367126250339,0.013490890925210759
load_centrality_2,0.7040281157069479,0.009770434071240942
eigenvector_centrality_1,0.7071640984049743,0.013142579388619754
eigenvector_centrality_3,0.7087320897539876,0.015981933437742034
basic_expansion_3,0.7137604758042715,0.011572336938445267
lsme_3,0.7083265747499325,0.012907839772132189
eigenvector_centrality_0,0.712787239794539,0.013158918490510112
load_centrality_1,0.7200594755339281,0.012630705676651713
basic_expansion_2,0.7242497972424979,0.009564195523163635
basic_expansion_1,0.7298729386320626,0.01107866859139504
lsme_2,0.7238172479048391,0.01415277703217905
self_walk_2,0.7334144363341442,0.01138556343784781
lsme_0,0.7292511489591782,0.01120295086509514
basic_expansion_0,0.7278453636117871,0.013848889872689375
load_centrality_0,0.727926466612598,0.014117100182250236
self_walk_0,0.7279535009462016,0.01174115145261895
