selected_features,accuracy_contribution,accuracy_contribution_std
page_rank_1,0.5467153284671532,0.01333044870127126
page_rank_0,0.5739659367396593,0.015339905989351975
degree_centrality_1,0.611868072452014,0.01444708818360654
page_rank_2,0.6234387672343876,0.02078954316147272
closeness_centrality_1,0.6454717491213842,0.013569081167890925
degree_centrality_0,0.639551230062179,0.017899934291485807
degree_centrality_2,0.647066774804001,0.015286834002240166
closeness_centrality_2,0.6513652338469857,0.014003262898646882
closeness_centrality_0,0.649824276831576,0.012972565192987043
page_rank_3,0.6606650446066504,0.01395443063357867
degree_centrality_3,0.6642606109759395,0.011955443083258925
closeness_centrality_3,0.6671262503379293,0.012921761038580934
self_walk_3,0.6780751554474183,0.008906407764654997
self_walk_1,0.6719924303865911,0.01576917568726621
eigenvector_centrality_2,0.6869694512030279,0.013188460737358788
lsme_1,0.680102730467694,0.013710459022088102
eigenvector_centrality_1,0.6826439578264395,0.01326746933193983
load_centrality_3,0.6976750473100839,0.013905768512513482
load_centrality_2,0.7043795620437956,0.01049283949219523
eigenvector_centrality_3,0.7084887807515545,0.012539414546228561
eigenvector_centrality_0,0.7089753987564208,0.01175123119149632
load_centrality_1,0.7171668018383348,0.012065795916701344
basic_expansion_1,0.7249526899161935,0.013021571652008294
lsme_3,0.7200054068667208,0.012636953375397691
basic_expansion_3,0.7209516085428493,0.010870895149488781
basic_expansion_2,0.7285482562854827,0.012522734046187619
basic_expansion_0,0.7274668829413354,0.010332245024388308
lsme_0,0.7227629088942957,0.01446286315449268
lsme_2,0.7267099216004326,0.009967166878455133
self_walk_0,0.7261422005947552,0.012781265697403524
self_walk_2,0.7294133549608002,0.012398388684484452
load_centrality_0,0.7347120843471208,0.011491372729042448
