selected_features,accuracy_contribution,accuracy_contribution_std
feat_lsme_2,0.5079318734793188,0.013681708455970044
feat_basic_expansion_1,0.5087915652879157,0.013107218532410045
feat_lsme_3,0.5280129764801298,0.012401028076843972
feat_self_walk_0,0.5430819140308192,0.012604032588473127
feat_lsme_0,0.5468775344687754,0.0115937583592733
feat_self_walk_1,0.558815896188159,0.013790839729636005
feat_basic_expansion_0,0.5703974047039739,0.012070731564408601
feat_lsme_1,0.5848661800486618,0.013566774609392233
feat_load_centrality_0,0.5964233576642336,0.015179004582376532
feat_self_walk_3,0.6152068126520681,0.01183346701036799
feat_basic_expansion_3,0.6281265206812651,0.013637116881431051
feat_eigenvector_centrality_0,0.6445579886455799,0.012881658834217422
feat_degree_centrality_0,0.6552960259529601,0.014227963022844075
feat_eigenvector_centrality_1,0.6597810218978103,0.011338475074592675
feat_closeness_centrality_2,0.6624087591240876,0.012445215173938878
feat_closeness_centrality_1,0.664728304947283,0.013250798295802075
feat_degree_centrality_3,0.6721654501216544,0.011812996604686305
feat_page_rank_1,0.6785725871857258,0.012105763285820682
feat_closeness_centrality_0,0.679529602595296,0.012297215586188799
feat_degree_centrality_1,0.6884022708840227,0.012255412166622895
feat_page_rank_2,0.6921005677210056,0.011280328299915987
feat_eigenvector_centrality_2,0.696309813463098,0.011792819754466981
feat_self_walk_2,0.7004541768045417,0.01249840135302274
feat_degree_centrality_2,0.7050121654501218,0.010734483868938568
feat_closeness_centrality_3,0.7100324412003242,0.012514303404630318
feat_eigenvector_centrality_3,0.7134225466342257,0.010412421954106802
feat_basic_expansion_2,0.7185482562854827,0.011587490305161896
feat_page_rank_3,0.7267396593673965,0.009203854260590574
feat_load_centrality_3,0.7268369829683698,0.011917282224862711
feat_page_rank_0,0.7314030819140308,0.011933104293897481
feat_load_centrality_1,0.7348661800486618,0.010882980165046467
feat_load_centrality_2,0.7400486618004868,0.01133382444448511
