Accuracy,Dataset,Source
0.96,IMDB,Leaderboard
0.86,IMDB,Leaderboard
0.84,IMDB,Leaderboard
0.82,IMDB,Leaderboard
0.81,IMDB,Leaderboard
0.8,IMDB,Leaderboard
0.8,IMDB,Leaderboard
0.8,IMDB,Leaderboard
0.79,IMDB,Leaderboard
0.79,IMDB,Leaderboard
0.79,IMDB,Leaderboard
0.78,IMDB,Leaderboard
0.78,IMDB,Leaderboard
0.78,IMDB,Leaderboard
0.77,IMDB,Leaderboard
0.77,IMDB,Leaderboard
0.77,IMDB,Leaderboard
0.77,IMDB,Leaderboard
0.76,IMDB,Leaderboard
0.76,IMDB,Leaderboard
0.76,IMDB,Leaderboard
0.75,IMDB,Leaderboard
0.75,IMDB,Leaderboard
0.75,IMDB,Leaderboard
0.75,IMDB,Leaderboard
0.74,IMDB,Leaderboard
0.74,IMDB,Leaderboard
0.74,IMDB,Leaderboard
0.74,IMDB,Leaderboard
0.73,IMDB,Leaderboard
0.73,IMDB,Leaderboard
0.73,IMDB,Leaderboard
0.73,IMDB,Leaderboard
0.73,IMDB,Leaderboard
0.73,IMDB,Leaderboard
0.73,IMDB,Leaderboard
0.73,IMDB,Leaderboard
0.73,IMDB,Leaderboard
0.72,IMDB,Leaderboard
0.72,IMDB,Leaderboard
0.72,IMDB,Leaderboard
0.71,IMDB,Leaderboard
0.71,IMDB,Leaderboard
0.7,IMDB,Leaderboard
0.7,IMDB,Leaderboard
0.69,IMDB,Leaderboard
0.67,IMDB,Leaderboard
0.6,IMDB,Leaderboard
0.52,IMDB,Leaderboard
1.0,MUTAG,Leaderboard
0.97,MUTAG,Leaderboard
0.96,MUTAG,Leaderboard
0.96,MUTAG,Leaderboard
0.95,MUTAG,Leaderboard
0.94,MUTAG,Leaderboard
0.94,MUTAG,Leaderboard
0.94,MUTAG,Leaderboard
0.94,MUTAG,Leaderboard
0.94,MUTAG,Leaderboard
0.93,MUTAG,Leaderboard
0.93,MUTAG,Leaderboard
0.92,MUTAG,Leaderboard
0.91,MUTAG,Leaderboard
0.91,MUTAG,Leaderboard
