selected_features,accuracy_contribution,accuracy_contribution_std,run
load_centrality_2,0.5459042984590429,0.01558971830620194,0
load_centrality_3,0.6098945660989458,0.018722910696788598,0
page_rank_2,0.662368207623682,0.010346382426788365,0
closeness_centrality_0,0.6758313057583132,0.01129274952526086,0
eigenvector_centrality_1,0.6798053527980535,0.009688103393159278,0
degree_centrality_1,0.6810759664774262,0.009670623630459547,0
basic_expansion_1,0.6971613949716139,0.014007750672462885,0
lsme_3,0.6987293863206272,0.01181013668541785,0
basic_expansion_3,0.7047850770478506,0.013860468828137759,0
lsme_2,0.7043795620437957,0.009952343949283573,0
self_walk_1,0.7050013517166802,0.011358152812728443,0
load_centrality_1,0.7111651797783185,0.011455796870875397,0
page_rank_0,0.7138415788050825,0.010806465521927183,0
page_rank_3,0.7064882400648825,0.011349301746764306,0
self_walk_3,0.7161665314949986,0.013713337265496098,0
closeness_centrality_2,0.7215193295485264,0.0111271491163655,0
basic_expansion_2,0.7236550419032173,0.010997226649579028,0
eigenvector_centrality_0,0.7256555825898892,0.011679833345485481,0
basic_expansion_0,0.7267910246012436,0.012074515203484754,0
degree_centrality_3,0.7256826169234928,0.011166881567932377,0
closeness_centrality_3,0.7247904839145716,0.01052326845154073,0
closeness_centrality_1,0.7226547715598811,0.009975962150559094,0
lsme_1,0.7252771019194376,0.013428092563488368,0
page_rank_1,0.7215733982157339,0.01042870224303576,0
load_centrality_0,0.7268721276020548,0.011032558849295883,0
degree_centrality_0,0.7250608272506083,0.011908616280926295,0
eigenvector_centrality_3,0.7307380373073804,0.012337256687627841,0
degree_centrality_2,0.7284941876182752,0.011882227784183259,0
self_walk_0,0.7297918356312517,0.011734426816490132,0
lsme_0,0.7311976209786427,0.010523997665443192,0
self_walk_2,0.7270884022708839,0.014661110689623807,0
eigenvector_centrality_2,0.7328196809948636,0.009517506160993805,0
self_walk_2,0.5290078399567452,0.01804905732948567,1
page_rank_2,0.613706407137064,0.012062554853669827,1
page_rank_3,0.6369288997026225,0.01642522103625356,1
basic_expansion_2,0.6663422546634225,0.015518178462784861,1
eigenvector_centrality_2,0.6926196269261963,0.01553286568677906,1
basic_expansion_1,0.7097323600973237,0.011900051811962234,1
closeness_centrality_1,0.7101108407677752,0.014025088149651383,1
degree_centrality_1,0.7094079480940795,0.012513976643478602,1
self_walk_0,0.7131386861313869,0.013655121919471932,1
page_rank_1,0.7134901324682349,0.011208527303968468,1
closeness_centrality_0,0.7065693430656933,0.015252827560233943,1
closeness_centrality_2,0.7070289267369557,0.015267602504537412,1
degree_centrality_2,0.7082184374155176,0.015073938121196536,1
load_centrality_1,0.714977020816437,0.015390610742737737,1
eigenvector_centrality_1,0.7197350635306842,0.012347352922686123,1
eigenvector_centrality_3,0.7288185996215193,0.010855858744462875,1
degree_centrality_3,0.7225466342254665,0.01487726176495189,1
load_centrality_0,0.7258718572587185,0.013094221182278806,1
lsme_0,0.7227899432278994,0.009468348400993153,1
self_walk_3,0.7262773722627737,0.011780426070299296,1
lsme_1,0.7270343336036766,0.01151488080880096,1
load_centrality_3,0.7327656123276561,0.010561570616716715,1
page_rank_0,0.7319005136523383,0.015089929585962374,1
self_walk_1,0.7305217626385511,0.012074878370464247,1
closeness_centrality_3,0.7359286293592864,0.012125011640511558,1
lsme_2,0.725763719924304,0.01202356355970562,1
load_centrality_2,0.7302243849689105,0.010189075000536096,1
basic_expansion_3,0.7328196809948634,0.012903082728966262,1
eigenvector_centrality_0,0.7299270072992702,0.012167252277078306,1
basic_expansion_0,0.734793187347932,0.012487404216358649,1
lsme_3,0.7342795350094619,0.01291802753723106,1
degree_centrality_0,0.7345769126791024,0.011198742240349491,1
eigenvector_centrality_2,0.5512030278453637,0.014370700092284944,2
self_walk_2,0.590889429575561,0.012947188034945793,2
lsme_3,0.6155988104893214,0.011626303675854583,2
degree_centrality_0,0.638118410381184,0.013621763465861022,2
eigenvector_centrality_3,0.6676939713436064,0.015005784273545635,2
