features,importance,dataset
basic_expansion_1,0.029374110212616458,NCI1
self_walk_1,0.027310344636642756,NCI1
page_rank_1,0.014234947089375555,NCI1
degree_centrality_1,0.021391631498132748,NCI1
closeness_centrality_1,0.02395761374390526,NCI1
load_centrality_1,0.03468522815197706,NCI1
eigenvector_centrality_1,0.032278894816611614,NCI1
lsme_1,0.033279355140930125,NCI1
basic_expansion_2,0.038291451807020746,NCI1
self_walk_2,0.011604451294938173,NCI1
page_rank_2,0.028748060019585013,NCI1
degree_centrality_2,0.026385285793005576,NCI1
closeness_centrality_2,0.026149466173369586,NCI1
load_centrality_2,0.03949368301544379,NCI1
eigenvector_centrality_2,0.028952704869975813,NCI1
lsme_2,0.011514558310761036,NCI1
basic_expansion_3,0.04421952707375018,NCI1
self_walk_3,0.03153410562261226,NCI1
page_rank_3,0.033501924484669,NCI1
degree_centrality_3,0.030017643595484013,NCI1
closeness_centrality_3,0.026110635524277157,NCI1
load_centrality_3,0.05338187096032614,NCI1
eigenvector_centrality_3,0.03537278427041379,NCI1
lsme_3,0.0335602158162481,NCI1
basic_expansion_4,0.03537301321056366,NCI1
self_walk_4,0.02904762684851768,NCI1
page_rank_4,0.04091271148975105,NCI1
degree_centrality_4,0.033298716828383514,NCI1
closeness_centrality_4,0.02535171300548264,NCI1
load_centrality_4,0.04688387787973817,NCI1
eigenvector_centrality_4,0.03791588733270654,NCI1
lsme_4,0.03586595948278491,NCI1
basic_expansion_1,0.027143245514034697,NCI1
self_walk_1,0.027148328200183692,NCI1
page_rank_1,0.015475496284868842,NCI1
degree_centrality_1,0.016868309627212783,NCI1
closeness_centrality_1,0.024885235902564994,NCI1
load_centrality_1,0.041133715061961264,NCI1
eigenvector_centrality_1,0.03452595958049709,NCI1
lsme_1,0.03179992117403221,NCI1
basic_expansion_2,0.03841131202186352,NCI1
self_walk_2,0.01111532859797507,NCI1
page_rank_2,0.026326454709686975,NCI1
degree_centrality_2,0.02652941598669383,NCI1
closeness_centrality_2,0.028840118444016904,NCI1
load_centrality_2,0.042693696380952065,NCI1
eigenvector_centrality_2,0.03313926671722307,NCI1
lsme_2,0.012825140926629054,NCI1
basic_expansion_3,0.042171668969086966,NCI1
self_walk_3,0.031044611917520643,NCI1
page_rank_3,0.03314568589101585,NCI1
degree_centrality_3,0.02685814726230173,NCI1
closeness_centrality_3,0.030352841854510672,NCI1
load_centrality_3,0.055994095255379926,NCI1
eigenvector_centrality_3,0.03467822822881138,NCI1
lsme_3,0.0296195989581624,NCI1
basic_expansion_4,0.031994687388195435,NCI1
self_walk_4,0.02511432016823905,NCI1
page_rank_4,0.03336335101916192,NCI1
degree_centrality_4,0.03100179784804374,NCI1
closeness_centrality_4,0.02923600208421923,NCI1
load_centrality_4,0.04629087926032152,NCI1
eigenvector_centrality_4,0.04370050583837079,NCI1
lsme_4,0.036572632926262665,NCI1
basic_expansion_1,0.030801279735645545,NCI1
self_walk_1,0.027355718737240617,NCI1
page_rank_1,0.013202264775242842,NCI1
degree_centrality_1,0.0188497542916367,NCI1
closeness_centrality_1,0.024588178516544136,NCI1
load_centrality_1,0.04359117512648179,NCI1
eigenvector_centrality_1,0.03152972224710027,NCI1
lsme_1,0.03282242445405347,NCI1
basic_expansion_2,0.03820229210830514,NCI1
self_walk_2,0.010282491728075889,NCI1
page_rank_2,0.02789366255890185,NCI1
degree_centrality_2,0.02512694940901139,NCI1
closeness_centrality_2,0.02503691721606881,NCI1
load_centrality_2,0.044205402372282813,NCI1
eigenvector_centrality_2,0.028442369662901066,NCI1
lsme_2,0.011119122776886757,NCI1
basic_expansion_3,0.04349089214718907,NCI1
self_walk_3,0.029360582177574222,NCI1
page_rank_3,0.03344468294310785,NCI1
degree_centrality_3,0.029596526557736782,NCI1
closeness_centrality_3,0.02820684339410061,NCI1
load_centrality_3,0.04769758884665005,NCI1
eigenvector_centrality_3,0.034669645130720565,NCI1
lsme_3,0.03275567962251309,NCI1
basic_expansion_4,0.03344649570487681,NCI1
self_walk_4,0.026023391571015134,NCI1
page_rank_4,0.034266081979307084,NCI1
degree_centrality_4,0.03456479231044733,NCI1
closeness_centrality_4,0.02706556593068663,NCI1
load_centrality_4,0.04375018079744243,NCI1
eigenvector_centrality_4,0.050575770701861984,NCI1
lsme_4,0.038035554468391235,NCI1
basic_expansion_1,0.028222285990134766,NCI1
self_walk_1,0.027078880046192015,NCI1
page_rank_1,0.013229095456014821,NCI1
degree_centrality_1,0.02071514933192624,NCI1
closeness_centrality_1,0.026283454122330793,NCI1
load_centrality_1,0.0402161140084592,NCI1
eigenvector_centrality_1,0.03455164602830323,NCI1
lsme_1,0.03372026833225545,NCI1
basic_expansion_2,0.03728902297539596,NCI1
self_walk_2,0.01157507403332567,NCI1
page_rank_2,0.02877553586871771,NCI1
degree_centrality_2,0.025020007016896762,NCI1
closeness_centrality_2,0.0259851028494507,NCI1
load_centrality_2,0.041904682845642756,NCI1
eigenvector_centrality_2,0.027914483582113285,NCI1
lsme_2,0.012600464952309065,NCI1
basic_expansion_3,0.04188931241273293,NCI1
self_walk_3,0.03113174670332178,NCI1
page_rank_3,0.03636337461908841,NCI1
degree_centrality_3,0.03008453442739692,NCI1
closeness_centrality_3,0.027318624036428443,NCI1
load_centrality_3,0.05975989532482653,NCI1
eigenvector_centrality_3,0.036897200781778106,NCI1
lsme_3,0.03259461968998465,NCI1
basic_expansion_4,0.03532056151325438,NCI1
self_walk_4,0.027378443266637673,NCI1
page_rank_4,0.03077811767218406,NCI1
degree_centrality_4,0.034221383672087755,NCI1
closeness_centrality_4,0.027600446348117102,NCI1
load_centrality_4,0.040308189212970066,NCI1
eigenvector_centrality_4,0.03931009071113054,NCI1
lsme_4,0.03396219216859224,NCI1
basic_expansion_1,0.031663728563683706,NCI1
self_walk_1,0.02617708280668794,NCI1
page_rank_1,0.01310923575383059,NCI1
degree_centrality_1,0.02121424289903357,NCI1
closeness_centrality_1,0.0246693495788469,NCI1
load_centrality_1,0.03632141833839662,NCI1
eigenvector_centrality_1,0.03474299108230345,NCI1
lsme_1,0.03314799219123923,NCI1
basic_expansion_2,0.03575356977841119,NCI1
self_walk_2,0.009541471375099529,NCI1
page_rank_2,0.03152207573720081,NCI1
degree_centrality_2,0.026234947022493918,NCI1
closeness_centrality_2,0.024781730680423854,NCI1
load_centrality_2,0.0446083446719606,NCI1
eigenvector_centrality_2,0.02606497969075374,NCI1
lsme_2,0.011043238277568635,NCI1
basic_expansion_3,0.043453838543948235,NCI1
self_walk_3,0.033553185735934646,NCI1
page_rank_3,0.035110776800035104,NCI1
degree_centrality_3,0.028429038312610386,NCI1
closeness_centrality_3,0.02401961742988944,NCI1
load_centrality_3,0.05650211598608477,NCI1
eigenvector_centrality_3,0.03549052920857932,NCI1
lsme_3,0.03364797754171908,NCI1
basic_expansion_4,0.03554032953960666,NCI1
self_walk_4,0.027323492287744177,NCI1
page_rank_4,0.0387835769779306,NCI1
degree_centrality_4,0.03297124476531665,NCI1
closeness_centrality_4,0.027547119233528195,NCI1
load_centrality_4,0.044614873173796525,NCI1
eigenvector_centrality_4,0.03754657067567021,NCI1
lsme_4,0.034869315339671754,NCI1
basic_expansion_1,0.029131058614980995,NCI1
self_walk_1,0.027132668001789345,NCI1
page_rank_1,0.01338375468073827,NCI1
degree_centrality_1,0.01892770215191431,NCI1
closeness_centrality_1,0.02305890203925051,NCI1
load_centrality_1,0.04257397522352375,NCI1
eigenvector_centrality_1,0.033140478967513834,NCI1
lsme_1,0.033648694747235794,NCI1
basic_expansion_2,0.03781349864161133,NCI1
self_walk_2,0.01026149176159239,NCI1
page_rank_2,0.028774227903913183,NCI1
degree_centrality_2,0.026257171042634638,NCI1
closeness_centrality_2,0.026723980680789607,NCI1
load_centrality_2,0.04280121093054849,NCI1
eigenvector_centrality_2,0.028058369250189674,NCI1
