selected_features,accuracy_contribution,accuracy_contribution_std
self_walk_1,0.7297814207650273,0.06441890603870964
closeness_centrality_3,0.781967213114754,0.05289267477016943
lsme_4,0.8153005464480876,0.038138005325495605
basic_expansion_2,0.8215846994535521,0.062089224625740784
load_centrality_2,0.842622950819672,0.033086066673706234
lsme_3,0.8401639344262295,0.04838843325621456
eigenvector_centrality_3,0.8532786885245904,0.03575061179674077
closeness_centrality_2,0.839344262295082,0.037538239334635175
closeness_centrality_4,0.8352459016393444,0.031840859999270534
load_centrality_1,0.8500000000000001,0.02367608915944253
closeness_centrality_1,0.8415300546448087,0.04281866234789012
lsme_1,0.8612021857923496,0.030444564540293147
load_centrality_4,0.8407103825136611,0.0336420799421641
page_rank_3,0.8527322404371586,0.03538119498776968
basic_expansion_4,0.8412568306010928,0.0405707805562429
eigenvector_centrality_4,0.8524590163934426,0.03244355761485768
degree_centrality_3,0.8592896174863387,0.029331845018557214
self_walk_3,0.848360655737705,0.03469515054426308
load_centrality_3,0.85792349726776,0.04951314225169091
self_walk_4,0.8560109289617486,0.031225336649900806
eigenvector_centrality_2,0.8420765027322403,0.03124326198671651
basic_expansion_1,0.8377049180327868,0.02621242613160972
page_rank_4,0.846448087431694,0.03707802284958987
page_rank_2,0.8401639344262296,0.03929584908438703
eigenvector_centrality_1,0.857103825136612,0.03228324471235247
basic_expansion_3,0.8338797814207648,0.041414853161740796
degree_centrality_2,0.8461748633879782,0.038717881177977705
degree_centrality_4,0.8379781420765028,0.03255954882815637
degree_centrality_1,0.8418032786885246,0.043380716794751605
page_rank_1,0.8396174863387978,0.028839053434811534
lsme_2,0.8423497267759564,0.0317234176545766
self_walk_2,0.8325136612021858,0.031934502904199115
