selected_features,accuracy_contribution,accuracy_contribution_std
lsme_1,0.6042222222222222,0.02392787516426278
lsme_2,0.6433333333333333,0.03333333333333333
self_walk_1,0.6645555555555556,0.03655015157625086
lsme_4,0.6853333333333331,0.021039645117412655
lsme_3,0.6816666666666666,0.02644000896509065
self_walk_2,0.6838888888888888,0.02719045765805205
basic_expansion_1,0.6847777777777776,0.023088931665022933
load_centrality_1,0.6855555555555557,0.02693384671311233
self_walk_3,0.6880000000000002,0.025670273916788718
load_centrality_2,0.6943333333333332,0.024647890751918675
self_walk_4,0.6934444444444445,0.02640823851998454
basic_expansion_2,0.6940000000000002,0.02391961847831499
eigenvector_centrality_2,0.6984444444444445,0.027240130164116787
closeness_centrality_2,0.6972222222222222,0.021552405268078702
page_rank_2,0.6858888888888889,0.02614324264131115
degree_centrality_2,0.6940000000000002,0.01963368232098812
eigenvector_centrality_1,0.7012222222222222,0.02448708402302359
closeness_centrality_1,0.6964444444444445,0.0179491737833855
degree_centrality_1,0.6899999999999998,0.024343224778007377
page_rank_1,0.6955555555555556,0.0244999370117608
load_centrality_4,0.6825555555555558,0.031170776120440388
load_centrality_3,0.6966666666666668,0.03053837901055969
closeness_centrality_3,0.6955555555555555,0.025259150646013896
eigenvector_centrality_4,0.695111111111111,0.024761579159438444
eigenvector_centrality_3,0.6962222222222222,0.027591374569188896
degree_centrality_4,0.6883333333333331,0.027805541680538216
page_rank_3,0.6868888888888889,0.02935016352195387
page_rank_4,0.6878888888888889,0.026323955198335046
basic_expansion_4,0.6931111111111111,0.025904859165705993
basic_expansion_3,0.691111111111111,0.02506780927261884
degree_centrality_3,0.6973333333333334,0.018745863741300578
closeness_centrality_4,0.6987777777777777,0.025114306581343785
