selected_features,accuracy_contribution,accuracy_contribution_std
load_centrality_3,0.546417950797513,0.016367184827152968
basic_expansion_3,0.6093809137604758,0.012361195914144977
load_centrality_4,0.651932954852663,0.015695869611637114
eigenvector_centrality_4,0.6753176534198431,0.009135844957402436
load_centrality_2,0.6957015409570155,0.015915486682711654
load_centrality_1,0.7093268450932686,0.012037900328776762
basic_expansion_2,0.7223033252230333,0.011004534616455085
page_rank_4,0.7276020546093539,0.011315217019557738
eigenvector_centrality_3,0.7296025952960259,0.015014061823169094
lsme_4,0.7255474452554745,0.00869379782834434
page_rank_3,0.7259529602595296,0.012415824912024247
degree_centrality_4,0.7235198702351987,0.0098962279061321
eigenvector_centrality_1,0.7250337929170046,0.012205904322021921
lsme_1,0.7250608272506083,0.011120283212329354
basic_expansion_4,0.7278723979453904,0.009129602930879626
lsme_3,0.7293592862935928,0.01207890273999369
self_walk_3,0.7266288185996216,0.011400542275373227
basic_expansion_1,0.7323871316572046,0.011242805470275263
degree_centrality_3,0.7276290889429574,0.01006915521301091
page_rank_2,0.7266828872668288,0.010718695648336845
eigenvector_centrality_2,0.7313598269802649,0.00951059249414799
closeness_centrality_4,0.732089753987564,0.011432039436726625
self_walk_4,0.7313057583130576,0.012102477368418196
closeness_centrality_3,0.7329818869964855,0.009153467661273661
closeness_centrality_2,0.7335225736685589,0.01292854646062746
self_walk_1,0.729845904298459,0.010065380159914065
degree_centrality_2,0.7328737496620709,0.01312012167798389
closeness_centrality_1,0.7345498783454987,0.011263588334373022
degree_centrality_1,0.7343336036766693,0.01135187731410883
page_rank_1,0.7322789943227899,0.013025976836834503
lsme_2,0.7307110029737768,0.008551101171426077
self_walk_2,0.734036226007029,0.0120930228139015
