features,dataset
page_rank_0,NCI1
lsme_1,NCI1
page_rank_1,NCI1
degree_centrality_0,NCI1
degree_centrality_1,NCI1
page_rank_2,NCI1
closeness_centrality_1,NCI1
degree_centrality_2,NCI1
closeness_centrality_0,NCI1
page_rank_3,NCI1
closeness_centrality_2,NCI1
degree_centrality_3,NCI1
closeness_centrality_3,NCI1
self_walk_3,NCI1
load_centrality_3,NCI1
self_walk_1,NCI1
eigenvector_centrality_2,NCI1
load_centrality_2,NCI1
eigenvector_centrality_1,NCI1
eigenvector_centrality_3,NCI1
basic_expansion_3,NCI1
lsme_3,NCI1
eigenvector_centrality_0,NCI1
load_centrality_1,NCI1
basic_expansion_2,NCI1
basic_expansion_1,NCI1
lsme_2,NCI1
self_walk_2,NCI1
lsme_0,NCI1
basic_expansion_0,NCI1
load_centrality_0,NCI1
self_walk_0,NCI1
