representation,n_bags,positive_rate,n_features,split,status,roc_auc,pr_auc,accuracy,eval_seconds,n_excluded_bags,family,anomaly,prevalence,k_hop,n,n_centers,bag_nodes_median,bag_nodes_p90,run_id
wasserstein,800,0.0512,16,0.0,ok,0.5493,0.2602,0.95,0.48,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
wasserstein,800,0.0512,16,1.0,ok,0.4909,0.0744,0.9333,0.48,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
wasserstein,800,0.0512,16,2.0,ok,0.4938,0.0652,0.9458,0.48,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
wasserstein,800,0.0512,16,3.0,ok,0.3408,0.1372,0.9542,0.48,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
wasserstein,800,0.0512,16,4.0,ok,0.492,0.1498,0.9542,0.48,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
wasserstein,800,0.0512,16,5.0,ok,0.5316,0.1795,0.9458,0.48,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
wasserstein,800,0.0512,16,6.0,ok,0.4689,0.1275,0.95,0.48,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
wasserstein,800,0.0512,16,7.0,ok,0.6345,0.1958,0.95,0.48,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
wasserstein,800,0.0512,16,8.0,ok,0.6038,0.2105,0.9542,0.48,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
wasserstein,800,0.0512,16,9.0,ok,0.5848,0.1531,0.9375,0.48,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_all,800,0.0512,99,0.0,ok,0.5424,0.3265,0.9625,0.97,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_all,800,0.0512,99,1.0,ok,0.4773,0.076,0.9333,0.97,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_all,800,0.0512,99,2.0,ok,0.5007,0.0667,0.9458,0.97,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_all,800,0.0512,99,3.0,ok,0.3629,0.1445,0.95,0.97,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_all,800,0.0512,99,4.0,ok,0.5077,0.147,0.9458,0.97,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_all,800,0.0512,99,5.0,ok,0.5258,0.1853,0.9542,0.97,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_all,800,0.0512,99,6.0,ok,0.473,0.0884,0.9458,0.97,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_all,800,0.0512,99,7.0,ok,0.7065,0.3206,0.9542,0.97,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_all,800,0.0512,99,8.0,ok,0.6711,0.239,0.95,0.97,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_all,800,0.0512,99,9.0,ok,0.5771,0.1557,0.9375,0.97,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_max,800,0.0512,33,0.0,ok,0.5782,0.3237,0.9583,0.56,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_max,800,0.0512,33,1.0,ok,0.4949,0.0813,0.9375,0.56,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_max,800,0.0512,33,2.0,ok,0.5088,0.0651,0.9458,0.56,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_max,800,0.0512,33,3.0,ok,0.3814,0.1377,0.95,0.56,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_max,800,0.0512,33,4.0,ok,0.5207,0.152,0.95,0.56,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_max,800,0.0512,33,5.0,ok,0.5389,0.24,0.9542,0.56,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_max,800,0.0512,33,6.0,ok,0.5048,0.0907,0.9458,0.56,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_max,800,0.0512,33,7.0,ok,0.6692,0.239,0.9542,0.56,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_max,800,0.0512,33,8.0,ok,0.712,0.2455,0.9458,0.56,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
pooled_max,800,0.0512,33,9.0,ok,0.5903,0.111,0.9333,0.56,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
size_only,800,0.0512,2,0.0,ok,0.5038,0.149,0.9417,0.39,,ba,clique,0.005,1,3000,800,7.0,14.0,ba_clique_p0.005_k1
